,address,city,state,postal_code,price,facts and features,real estate provider,url,title
905,,Pequea,PA,17565,"$195,000 ","4 bds, 2.0 ba ,1482 sqft","Weichert, Realtors- Welcome Home",https://www.zillow.com/homedetails/556-Marticville-Rd-Pequea-PA-17565/54236823_zpid/,House for sale
906,,Conestoga,PA,17516,"$399,900 ","4 bds, 3.0 ba ,3244 sqft",Berkshire Hathaway HomeServices Homesale Realty,https://www.zillow.com/homedetails/4-Silver-Mine-Rd-Conestoga-PA-17516/9781477_zpid/,House for sale
907,,Lancaster,PA,17602,"$219,900 ","2 bds, 3.0 ba ,1581 sqft",Berkshire Hathaway HomeServices Homesale Realty,https://www.zillow.com/homedetails/211-Willow-Valley-Dr-Lancaster-PA-17602/54229745_zpid/,Condo for sale
908,,Lancaster,PA,17602,,"3 bds, 2.0 ba ,1344 sqft",Auction.com,https://www.zillow.com/homedetails/2175-Hollinger-Rd-Lancaster-PA-17602/9728875_zpid/,Auction
909,,Willow Street,PA,17584,"$220,000 ","3 bds, 2.0 ba ,1807 sqft",Berkshire Hathaway HomeServices Homesale Realty,https://www.zillow.com/homedetails/339A-Carol-Lynn-Dr-Willow-Street-PA-17584/2086135857_zpid/,House for sale
910,,Willow Street,PA,17584,"$2,500,000 ","4 bds, 2.0 ba ,3120 sqft",Berkshire Hathaway HomeServices Homesale Realty,https://www.zillow.com/homedetails/799-Rawlinsville-Rd-Willow-Street-PA-17584/246004717_zpid/,House for sale
911,,Lancaster,PA,17602,"$254,900 ","4 bds, 2.0 ba ,1792 sqft",Iron Valley Real Estate of Lancaster,https://www.zillow.com/homedetails/1906-Willow-Street-Pike-Lancaster-PA-17602/9728764_zpid/,House for sale
912,,Lancaster,PA,17603,"$425,000 ","4 bds, 3.0 ba ,2950 sqft",,https://www.zillow.com/homedetails/2086-New-Danville-Pike-Lancaster-PA-17603/54240279_zpid/,For sale by owner
913,,Willow Street,PA,17584,,"4 bds, 2.0 ba ,2766 sqft",Auction.com,https://www.zillow.com/homedetails/213-Skyline-Dr-Willow-Street-PA-17584/9781629_zpid/,Auction
914,,Lancaster,PA,17603,,"4 bds, 2.0 ba ,3756 sqft",Auction.com,https://www.zillow.com/homedetails/Millersville-Rd-Lancaster-PA-17603/104381600_zpid/,Auction
915,,Lancaster,PA,17603,"$332,367 ","3 bds, 3.0 ba ,1817 sqft",Coldwell Banker Residential Brokerage-Lancaster,https://www.zillow.com/homedetails/756-Baumgardner-Rd-Lancaster-PA-17603/2084008549_zpid/,New construction
916,,Willow Street,PA,17584,"$599,000 ","7 bds, 4.0 ba ,4904 sqft",Hometown Property Sales Group LLC,https://www.zillow.com/homedetails/2048-Silver-Ln-Willow-Street-PA-17584/9731039_zpid/,House for sale
917,,Willow Street,PA,17584,"$249,020 ","3 bds, 3.0 ba ,1750 sqft",Millfield Realty,https://www.zillow.com/homedetails/717-Danforth-Cir-7-Willow-Street-PA-17584/2079480372_zpid/,New construction
918,,Lancaster,PA,17602,"$527,800 ","4 bds, 3.0 ba ,3001 sqft",Kingsway Realty,https://www.zillow.com/homedetails/1435-Eshelman-Mill-Rd-LOT-1-Lancaster-PA-17602/2078363241_zpid/,New construction
919,,Lancaster,PA,17602,"$949,900 ","6 bds, 6.0 ba ,7144 sqft",Kingsway Realty,https://www.zillow.com/homedetails/126-Winding-Way-Lancaster-PA-17602/9728838_zpid/,House for sale
920,,Willow Street,PA,17584,"$223,990 ","3 bds, 2.0 ba ,1401 sqft",Garman Builders,https://www.zillow.com/homedetails/4-Southside-Dr-Willow-Street-PA-17584/306952022_zpid/,New construction
921,,Willow Street,PA,17584,"$220,000 ","3 bds, 2.0 ba ,1807 sqft",Berkshire Hathaway HomeServices Homesale Realty,https://www.zillow.com/homedetails/339-339-Carol-Lynn-Dr-A-Willow-Street-PA-17584/2078456201_zpid/,Apartment for sale
